,matches,home_corr,draw_corr,away_corr,mean_corr
R Welch,13,0.6609679911077838,0.39929623111387025,0.6412373502358225,0.5671671908191588
L Smith,5,0.7015125581124356,0.3291980819682251,0.6617828878599504,0.564164509313537
L Swabey,42,0.6020698191447844,0.13744218975434758,0.6584429306772035,0.4659849798587785
D Handley,19,0.4942956282622069,0.3040749578229732,0.5192349507674249,0.439201845617535
D Whitestone,9,0.5760042686608459,0.16288219869089074,0.5602635610296289,0.4330500094604552
P Wright,44,0.553095114457385,0.15096579048430156,0.4943933878866914,0.39948476427612595
C Boyeson,39,0.4494922003487865,0.17684824257169868,0.4526364000825164,0.3596589476676672
J Smith,25,0.4943204623073503,0.13042133894800012,0.4036401342709093,0.3427939785087532
S Martin,17,0.36006732444368417,0.34122039616554173,0.28763069055636903,0.32963947038853164
B Toner,52,0.31993403028660256,0.10350120581831034,0.5609665286341872,0.32813392157970006
T Reeves,24,0.33148211854739223,0.2183029266084943,0.4023793427759403,0.31738812931060895
C Breakspear,59,0.4536484245897078,0.10107532623505802,0.3724563853083023,0.30906004537768933
T Kettle,34,0.25267735716460954,0.15879769392191875,0.48120600955847453,0.29756035354833427
S Barrott,49,0.5195154963855977,0.012745492418019751,0.35967470908155097,0.29731189929505614
R Madley,40,0.36699528796610315,0.021730452639914487,0.4998183628841098,0.29618136783004245
T Nield,47,0.34660475596913193,0.22243103288618205,0.3152254140563014,0.29475373430387175
A Backhouse,56,0.3048803304673761,0.3504832384805223,0.2263485567140381,0.2939040418873122
B Speedie,36,0.37446317665191786,0.012806017284933276,0.4801445064442995,0.2891379001270502
A Haines,43,0.37731120760674747,0.2657998445731627,0.21414871749389108,0.28575325655793377
B Huxtable,26,0.46235214511751793,-0.02863135758015299,0.39454754565036737,0.27608944439591077
C Pollard,32,0.4209382266728274,0.09476740951485602,0.2872318801154782,0.2676458387677205
C Hicks,59,0.3215994876129453,0.08495303471903584,0.3821932962672691,0.26291527286641675
N Hair,47,0.3867445028522323,0.23905806920997358,0.15836838816374335,0.2613903200753164
S Purkiss,50,0.2960038216528266,0.04361842735049807,0.43633163292544613,0.2586512939762569
D Rock,47,0.36196048896087657,0.08711105222483931,0.30338567730133786,0.2508190728290179
T Kirk,9,0.19360940488444994,0.1347331804188564,0.3917989489247685,0.24004717807602494
S Oldham,58,0.27316802707462967,0.02963099884829132,0.41163978639874715,0.2381462707738894
S Mather,23,0.45756174477734796,0.019259777642814266,0.20742519957300834,0.2280822406643902
O Langford,14,0.43439107278586037,-0.07649204046028926,0.32407667764849235,0.22732523665802115
T Bramall,21,0.3555165912168816,-0.026342481572545026,0.34427554826443213,0.22448321930292292
L Doughty,14,0.44047126412526866,-0.04617070355404197,0.26818821237955837,0.22082959098359503
W Finnie,48,0.19617975238930477,0.20991610077868314,0.25509931989448836,0.22039839102082545
J Bell,30,0.4288281662225973,0.003607661493219301,0.22317704777584815,0.21853762516388822
M Coy,38,0.21809814407786482,0.10264067858708437,0.3270781157028098,0.21593897945591967
J Oldham,43,0.3274467491057448,-0.06739273248311212,0.36400589944029543,0.20801997202097602
J Busby,43,0.3741526164568921,0.019219071575763608,0.22718444464468854,0.2068520442257814
A Young,39,0.20248396617623798,0.10059283203024141,0.2631660567410285,0.18874761831583595
O Yates,54,0.25663518456288764,0.04749138777026613,0.25464516791322533,0.18625724674879304
M Edwards,44,0.297327583104472,0.1666581073270293,0.09094511757719999,0.18497693600290044
T Parsons,6,0.5901906150952335,-0.33084657994221295,0.29034541185305845,0.183229815668693
S Allison,38,0.21377421218174647,0.10578859930050644,0.2152048065897078,0.17825587269065357
G Salisbury,21,0.26535601624315414,-0.18981032313626658,0.4086442627243888,0.16139665194375877
R Lewis,45,0.19490328515016583,0.22161282755799147,0.04004318930825728,0.15218643400547152
A Woolmer,25,0.271125084402186,-0.11893337354147814,0.2905065667790933,0.14756609254660039
K Stroud,6,0.3454045388454109,0.25937897638079604,-0.17849340196480998,0.14209670442046562
J Adcock,12,0.21127210300103616,0.0574513378773937,0.13639696564909612,0.13504013550917535
B Madden,11,0.12757021150397826,-0.19252593332946047,0.46013677970664846,0.13172701929372208
R Joyce,49,0.23556246599125588,0.0245078293174731,0.12022118914830685,0.1267638281523453
C Brook,36,0.12502299653093457,0.05768087609944225,0.18617575292447247,0.12295987518494977
S Stockbridge,51,0.19406330994350868,0.07223031297983928,0.08979697321999776,0.11869686538111524
M Donohue,4,0.5407119529002427,0.053425275643541256,-0.24534007770794197,0.11626571694528065
A Davies,17,0.10594079941998867,0.1672140073936501,0.06841291015572977,0.11385590565645619
A Kitchen,24,-0.0017522072323777828,-0.02561710637872796,0.3666949307709433,0.11310853905327918
D Drysdale,47,0.14861701837064326,-0.04187042248646395,0.19036767875860522,0.09903809154759484
A Coggins,26,-0.011023638378620299,0.16605584619352762,0.14182103591590675,0.09895108124360469
P Howard,28,0.3413939000811215,-0.1597992426635485,0.10573592928864065,0.09577686223540456
G Ward,16,0.19318741304935402,0.09426064977135173,-0.049161307258795243,0.07942891852063684
J Simpson,7,0.008030085842944061,0.32356014978228986,-0.13868608896384146,0.06430138222046415
C Sarginson,33,-0.012669626212767505,-0.08280551413149746,0.2640712994403273,0.05619871969868745
D Bourne,30,0.18596815485626492,-0.27687385820558463,0.0677151368813225,-0.00773018882266574
D Webb,6,-0.07761751863717506,-0.7618465595540416,0.5295852896390402,-0.10329292951739215
M Salisbury,16,-0.024564245961327467,-0.42688241626175866,0.03527053322091421,-0.1387253763340573
K Johnson,27,-0.23910162340009328,-0.35400884216420087,0.16627821720350439,-0.14227741612026326
T Robinson,8,-0.1623605383779627,-0.10785467058718373,-0.29475016568130336,-0.1883217915488166
