Level,Date,Hour,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
L2,03.08.2019,12:30,Salford,Stevenage,2,0,H,1,0,H,K Johnson,16,6,5,2,11,14,3,7,1,0,0,0,1.9,3.6,4.5
L2,03.08.2019,15:00,Crewe,Plymouth,0,3,A,0,2,A,M Donohue,16,13,9,9,7,17,11,3,3,5,0,0,3.0,3.4,2.5
L2,03.08.2019,15:00,Leyton Orient,Cheltenham,1,0,H,0,0,D,M Salisbury,12,2,5,0,6,19,5,3,0,0,0,2,2.1,3.6,3.75
L2,03.08.2019,15:00,Morecambe,Grimsby,0,2,A,0,0,D,D Handley,8,10,0,5,12,14,1,6,3,2,0,0,2.5,3.75,2.8
L2,03.08.2019,15:00,Newport County,Mansfield,2,2,D,2,0,H,J Adcock,13,8,4,3,15,11,6,4,2,5,0,1,2.4,3.6,3.0
L2,03.08.2019,15:00,Northampton,Walsall,0,1,A,0,1,A,N Kinseley,13,10,3,3,10,21,5,4,2,4,0,0,2.4,3.6,3.0
L2,10.08.2019,15:00,Cheltenham,Scunthorpe,4,1,H,0,0,D,L Doughty,22,8,10,2,14,13,6,2,0,2,0,0,2.75,3.5,2.4
L2,10.08.2019,15:00,Crawley Town,Salford,2,0,H,1,0,H,G Salisbury,30,7,9,1,11,14,10,3,2,2,0,0,3.1,3.25,2.3
L2,10.08.2019,15:00,Mansfield,Morecambe,2,2,D,1,2,A,C Pollard,18,8,5,4,9,16,8,6,1,2,1,0,1.61,3.8,5.5
L2,10.08.2019,15:00,Plymouth,Colchester,1,0,H,0,0,D,J Busby,10,13,2,4,6,12,2,5,1,1,0,0,2.1,3.4,3.4
L2,10.08.2019,15:00,Stevenage,Exeter,0,1,A,0,0,D,A Coggins,7,11,1,4,13,8,4,4,1,2,0,0,2.75,3.3,2.5
L2,10.08.2019,15:00,Swindon,Carlisle,3,2,H,0,0,D,N Kinseley,20,6,9,4,11,13,9,3,2,1,0,1,1.9,3.5,4.0
L2,17.08.2019,15:00,Bradford,Oldham,3,0,H,2,0,H,G Eltringham,12,13,4,3,9,16,6,11,1,1,0,0,1.85,3.6,4.75
L2,17.08.2019,15:00,Colchester,Cambridge,1,2,A,1,0,H,A Coggins,15,6,3,3,16,13,4,2,0,2,0,0,1.95,3.4,4.5
L2,17.08.2019,15:00,Exeter,Swindon,1,1,D,0,0,D,C Sarginson,11,16,2,4,9,9,4,10,1,2,0,0,2.6,3.5,2.8
