,matches,home_corr,draw_corr,away_corr,mean_corr
A Taylor,28,0.527504349630098,0.1315759994106197,0.03693469036587102,0.23200501313552957
M Oliver,28,0.503563497491621,0.13235835762208126,0.30865983555092985,0.31486056355487735
M Atkinson,26,0.26999718076908874,0.27407585392382317,0.25321402989462477,0.26576235486251226
M Dean,25,0.4321905621154468,0.2299386861175895,0.23622842329078847,0.2994525571746083
K Friend,25,0.197869437275894,-0.19653526104757385,0.22755617887480603,0.0762967850343754
A Marriner,25,0.35407110621460025,0.009950956462035223,0.29104672705463025,0.21835626324375523
J Moss,24,0.5381474410445127,0.17687587814970518,0.42400800230480784,0.3796771071663419
C Pawson,23,0.3322035144582384,-0.07108514378645599,0.22891657397938342,0.16334498155038862
S Attwell,23,-0.03122070683511889,-0.03707803615893382,0.02969927419927491,-0.012866489598259265
C Kavanagh,22,0.563772304219211,-0.026776675659301415,0.5015055996132143,0.34616707605770797
D Coote,21,0.5529262221577208,0.17642114462704164,0.5655073516861574,0.4316182394903066
P Tierney,21,0.46784269536259715,-0.05363447504183502,0.23854049546637707,0.21758290526237975
A Madley,16,0.35547580073701424,0.24485241039449204,0.346750575089961,0.3156929287404891
P Bankes,16,0.1494310848328146,-0.3436527664073822,0.6303648922351082,0.14538107022018018
G Scott,13,0.6592102272761328,0.28164131676830806,0.2864699486929176,0.40910716424578614
S Hooper,12,0.026467759836542204,0.14500951545944987,-0.05307662148735543,0.039466884602878886
L Mason,11,0.21328885743311776,-0.1046241012623653,0.5123504562730945,0.20700507081461564
D England,11,0.5618358052300088,0.3174672372373864,0.19884301891048167,0.3593820204592923
R Jones,9,0.7790959040672032,0.2897338698845923,0.6545391942170687,0.5744563227229548
