,matches,home_corr,draw_corr,away_corr,mean_corr
A Taylor,28,0.4388646504548101,0.13701204929903202,0.3403397377208936,0.30540547915824523
P Tierney,27,0.6291852965864563,0.2797811681419964,0.7649828025183424,0.557983089082265
M Oliver,26,0.22337416391049958,-0.1373252452699769,0.29869996562708057,0.12824962808920107
C Pawson,26,0.3998658269029596,-0.11605947306111666,0.28421797386043895,0.18934144256742727
M Atkinson,26,0.7717391733803897,0.275312395558649,0.749088074202907,0.5987132143806485
M Dean,26,0.38027851748088287,0.18022361207901083,0.2762321866281819,0.27891143872935853
J Moss,25,0.34408373837810874,-0.047798872874990996,0.47815779289349125,0.25814755279886964
S Attwell,20,0.5657436723615915,0.06514761700361407,0.5806389387911071,0.40384340938543756
D Coote,20,0.44096234462136275,0.12520821394093057,0.4556053121463743,0.34059195690288924
A Marriner,19,0.43926017386345,0.05077266322895344,0.6415030937478983,0.3771786436134339
C Kavanagh,18,0.675084737967176,0.40710353513945724,0.7318000899593263,0.6046627876886532
K Friend,18,0.3064857939050253,-0.055990868153274295,0.2938003456896949,0.18143175714714863
A Madley,16,0.27980428971854504,0.1946337115655199,0.1146130125890932,0.1963503379577194
D England,15,0.31563671629565304,0.12626172788965184,0.43459402204045977,0.29216415540858826
S Hooper,15,0.7316706346057471,0.22837869426963656,0.38257736675302095,0.44754223187613484
G Scott,12,0.3571554136740875,0.13048162090382392,0.19407875488190926,0.2272385964866069
R Jones,12,0.09205042599413009,0.32154891619310355,0.4378966886860321,0.28383201029108857
P Bankes,12,0.10364837495459951,-0.40399405557214474,0.26085112920752906,-0.013164850470005393
J Gillett,9,0.377734810745983,0.11917480922694873,0.41376750243129556,0.3035590408014091
J Brooks,4,0.8752211949809864,0.07952283638988823,0.8317827773534207,0.5955089362414318
T Harrington,3,-0.5,-0.9696883923376068,0.3812464258315115,-0.36281398883536514
