,matches,home_corr
Gillingham,23,0.6758401138394659
Charlton,23,0.5400959314872016
Ipswich,24,0.513554853373227
Wycombe,24,0.44689187937077157
Cambridge,24,0.43799622977023756
Wigan,23,0.3699225335972081
Milton Keynes Dons,23,0.3078654193062705
Doncaster,23,0.2918268749296593
Plymouth,24,0.2714057973061103
Rotherham,23,0.23561331048838716
Cheltenham,24,0.23261042790854283
Burton,23,0.22585906606811465
Oxford,23,0.21841159696775128
Crewe,23,0.2085158174632987
Sheffield Weds,24,0.16924500988434113
AFC Wimbledon,23,0.16736101894716868
Bolton,23,0.14401070053461212
Fleetwood Town,23,0.14345024568216533
Sunderland,23,0.14004734610294015
Shrewsbury,23,0.13459110287426487
Accrington,24,0.13442545537539122
Portsmouth,23,0.07585167943494132
Lincoln,24,0.030853753221117323
Morecambe,24,-0.009616504871527428
