,matches,home_corr
Leeds,12,0.7397967792582456
West Ham,15,0.5857574003016895
Crystal Palace,12,0.5509990710197493
Newcastle,11,0.5409422203469662
Southampton,16,0.516688708075669
Arsenal,9,0.4814321156004713
Tottenham,13,0.420377478926354
West Brom,12,0.4072310952210736
Fulham,18,0.40513957267220574
Burnley,13,0.39689524796269876
Wolves,13,0.362456380447479
Leicester,12,0.3339760074824096
Man United,13,0.2534882818256906
Sheffield United,13,0.23019324721286455
Aston Villa,12,0.20034060869699463
Chelsea,12,0.10064135158366362
Everton,14,0.09738373285942964
Man City,12,0.021525460661599008
Liverpool,11,-0.06766038116116196
Brighton,13,-0.10629743050241124
