,matches,home_corr
Reading,23,0.49388744062748235
Middlesbrough,22,0.4844555420011829
Cardiff,22,0.4377769115097875
Huddersfield,22,0.31532334275838697
Norwich,23,0.2905269369460335
Birmingham,23,0.2771742654895998
Swansea,23,0.26603518972330215
Bristol City,23,0.25414421671950516
Rotherham,22,0.22368312740663077
QPR,23,0.2035163659585934
West Brom,23,0.19319659599590452
Blackburn,22,0.15094210126793942
Blackpool,22,0.1351597899304085
Stoke,23,0.1271204912685029
Sunderland,22,0.11168700258827018
Wigan,22,0.10960891325652168
Luton,22,0.10647721943579778
Coventry,23,0.07449894865654333
Preston,23,0.06156460436521401
Sheffield United,23,-0.0199835326009148
Hull,22,-0.10390722866016847
Millwall,22,-0.18577385197196997
Burnley,23,-0.20400899477414777
Watford,23,-0.6000820795875085
