,matches,home_corr
Grimsby,18,0.6941503387536285
Carlisle,19,0.42189605535865027
Crewe,19,0.4198422066807743
Stevenage,17,0.41134388959105106
Cheltenham,18,0.36849662413783413
Swindon,19,0.30000480217024467
Macclesfield,18,0.2646083372769965
Exeter,18,0.24235016936582537
Leyton Orient,19,0.18703164829730753
Oldham,18,0.12610392491233346
Forest Green,17,0.11708745004069723
Morecambe,18,0.11190156501914046
Crawley Town,19,0.09812588573730639
Port Vale,18,0.04292908452002919
Plymouth,19,0.030938027170661065
Bradford,18,-0.011570587927358756
Colchester,18,-0.03183568918652737
Salford,19,-0.050858566358211364
Newport County,19,-0.0554794092835799
Northampton,19,-0.08769782262928154
Walsall,19,-0.11498007487354188
Cambridge,18,-0.15306027429793576
Mansfield,17,-0.17626571780217803
Scunthorpe,19,-0.38277819825254783
