,matches,home_corr
Liverpool,19,0.6885672245735728
Leeds,19,0.6107472186517546
Arsenal,19,0.4922137981233636
Chelsea,19,0.41815989488775085
Tottenham,19,0.416664775450205
Leicester,19,0.4062866040632323
Newcastle,19,0.38630685899797457
Southampton,19,0.3732821265222425
Aston Villa,19,0.348890019699721
Brentford,19,0.32871471657790097
Wolves,19,0.3088855324525056
Man City,19,0.29381286203322315
Norwich,19,0.25157967392540115
Man United,19,0.24862588470784688
Everton,19,0.2016512269121652
Crystal Palace,19,0.18703388047512778
Burnley,19,0.1667248686449667
Brighton,19,0.10806096646944893
West Ham,19,-0.0074681500467803485
Watford,19,-0.11247114422860957
