,matches,home_corr,draw_corr,away_corr,mean_corr
D Webb,32,0.2810033792977858,-0.1592000868409321,0.34018294916959874,0.15399541387548413
K Stroud,32,0.02532276393351755,-0.05855429660842942,0.10730308653376001,0.02469051795294938
M Donohue,29,0.40987546326336577,-0.02738982540436267,0.6798209186630072,0.35410218550733674
G Ward,29,0.2604349680645024,0.04738608550706732,0.08736907158815178,0.13173004171990715
T Robinson,28,0.1853812821607017,-0.19383858674715015,0.16583199850123756,0.05245823130492971
J Smith,28,-0.1318939625139163,0.16452597883784395,-0.1205105054787973,-0.029292829718289882
D Bond,27,0.3861278548127738,-0.07299050875287454,0.2647876091003055,0.19264165172006828
J Linington,26,-0.09143472442238694,0.08246731076987096,-0.024043838818668027,-0.011003750823728002
D Whitestone,25,0.28263916420336427,0.1241253053445578,0.32615437330211366,0.24430628095001192
S Martin,25,0.2514333972485545,0.01749034774591893,0.39683068676693434,0.22191814392046927
L Doughty,25,0.4036001329384995,-0.13216084688907864,0.3265176051508714,0.19931896373343075
J Busby,25,0.19547970840249898,0.02791044103652759,0.18483435620639255,0.13607483521513972
J Simpson,23,0.12575344992576065,-0.33916165530624803,0.6228440885212908,0.13647862771360114
O Langford,21,0.2733348048902581,-0.2995481860503721,-0.0006784429305059713,-0.008963941363539995
A Davies,18,0.3413470073460173,0.18051046744844762,0.010123167092572636,0.1773268806290125
A Woolmer,16,0.31967344271166714,0.02486393329139279,0.006404707083724562,0.1169806943622615
T Bramall,14,0.24538946052640492,-0.4690255148567963,0.09673307496904238,-0.04230099312044966
R Madley,13,-0.04817734728270213,-0.5627508076272439,0.009785990603638904,-0.20038072143543573
G Eltringham,13,0.7500807235080974,0.19252438048617135,0.10890764993305922,0.3505042513091093
M Salisbury,9,0.8023667272393525,0.2755159571344601,0.6596331644932073,0.57917194962234
J Bell,9,0.2810006907568821,0.004970613380679465,0.1593497846718436,0.14844036293646837
G Scott,8,0.06589457496673075,-0.010652399210134653,-0.29712282894050007,-0.08062688439463465
P Bankes,6,0.16323851176881923,0.5396145425922532,0.2327130351654006,0.311855363175491
A Marriner,5,0.4478222844836806,-0.4646916217685685,0.16282302347342983,0.04865122872951399
J Gillett,4,-0.40927565738311067,-0.6964100486264508,0.26765654051909965,-0.2793430551634873
C Pawson,4,-0.8620852013254677,-0.386718735728852,0.2643316304415616,-0.3281574355375861
A Madley,3,-0.7664256734729304,-0.9655310863777893,0.1346107176272129,-0.5324486807411689
