,matches,home_corr,draw_corr,away_corr,mean_corr
J Gillett,8,0.587877870127204,0.11267009232950954,0.43837097525019103,0.37963964590230154
G Scott,8,0.15201573284655995,0.078548675485083,0.7100709556078745,0.31354512131317247
J Smith,25,0.38659247850097384,0.2511859934204594,0.2865194633937809,0.30809931177173805
R Jones,9,0.22942065623215557,0.2536263017428344,0.2528916577016682,0.2453128718922194
A Davies,25,0.3370340552439902,-0.04840310491546972,0.2386487214936396,0.1757598906073867
M Salisbury,15,-0.012596657105989919,0.34357794878308384,0.1412686957324862,0.15741666246986005
A Marriner,3,0.31456742764824736,-1.0,0.9851708411390089,0.09991275626241873
J Busby,20,-0.00969578929717971,0.33412905524085373,-0.02791330966777612,0.0988399854252993
T Bramall,19,0.35949334117815646,-0.04535635964393133,-0.10626648542371192,0.06929016537017108
P Bankes,8,0.018759912234907566,-0.4874797872660705,0.5970074931679884,0.04276253937894183
L Doughty,23,-0.03463350708190295,-0.04991319830361378,0.21160615093109975,0.04235314851519434
S Hooper,10,0.18766693382128624,-0.21536768275189697,-0.37734373582938546,-0.13501482825333208
C Kavanagh,5,-0.3729435980308631,-0.48590962776727853,-0.8013174640064764,-0.5533902299348726
