,matches,home_corr
Cardiff,9,0.7638370068471413
Bristol City,7,0.6115115198926391
Reading,6,0.6016890279237269
Derby,6,0.6007152741730378
Coventry,10,0.5969319587632572
Luton,7,0.5359733740885918
Blackburn,8,0.5333295166189864
Barnsley,7,0.5302028308840876
QPR,7,0.4730635708561659
Stoke,7,0.3931754410719179
Swansea,9,0.20493914727964155
Millwall,10,0.17898558994040484
Norwich,8,0.1517369031797945
Bournemouth,6,0.13425198146608916
Wycombe,9,0.11636852102907799
Watford,10,0.0038546988566031245
Birmingham,7,-0.07416017610727052
Brentford,9,-0.1752301002351231
Middlesbrough,9,-0.21449572741259526
Preston,5,-0.29907091771398564
Sheffield Weds,7,-0.3111724543413484
Rotherham,7,-0.7579524981075761
Huddersfield,7,-0.8312529905840025
